Player,AllStar,Season,age,Team,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
Alaa Abdelnaby,0,1990,22.0,POR,NBA,PF,43.0,0.0,6.7,1.3,2.7,0.474,0.0,0.0,,1.3,2.7,0.474,0.474,0.6,1.0,0.568,0.6,1.4,2.1,0.3,0.3,0.5,0.9,3.1
Alaa Abdelnaby,0,1991,23.0,POR,NBA,PF,71.0,1.0,13.2,2.5,5.1,0.493,0.0,0.0,,2.5,5.1,0.493,0.493,1.1,1.4,0.752,1.1,2.5,3.7,0.4,0.2,0.9,1.9,6.1
Alaa Abdelnaby,0,1992,24.0,TOT,NBA,PF,75.0,52.0,17.5,3.3,6.3,0.518,0.0,0.0,0.0,3.3,6.3,0.519,0.518,1.2,1.5,0.759,1.7,2.8,4.5,0.4,0.3,1.3,2.5,7.7
Alaa Abdelnaby,0,1992,24.0,MIL,NBA,PF,12.0,0.0,13.3,2.2,4.7,0.464,0.0,0.1,0.0,2.2,4.6,0.473,0.464,1.0,1.3,0.75,1.0,2.1,3.1,0.8,0.3,1.1,2.0,5.3
Alaa Abdelnaby,0,1992,24.0,BOS,NBA,PF,63.0,52.0,18.3,3.5,6.6,0.525,0.0,0.0,,3.5,6.6,0.525,0.525,1.2,1.6,0.76,1.8,3.0,4.8,0.3,0.3,1.3,2.6,8.2
Alaa Abdelnaby,0,1993,25.0,BOS,NBA,PF,13.0,0.0,12.2,1.8,4.2,0.436,0.0,0.0,,1.8,4.2,0.436,0.436,1.2,1.9,0.64,0.9,2.6,3.5,0.2,0.2,1.3,1.5,4.9
Alaa Abdelnaby,0,1994,26.0,TOT,NBA,PF,54.0,0.0,9.4,2.2,4.3,0.511,0.0,0.0,0.0,2.2,4.2,0.515,0.511,0.4,0.6,0.5710000000000001,0.7,1.4,2.1,0.2,0.2,0.8,1.9,4.7
Alaa Abdelnaby,0,1994,26.0,SAC,NBA,PF,51.0,0.0,9.3,2.3,4.3,0.532,0.0,0.0,0.0,2.3,4.3,0.537,0.532,0.4,0.7,0.5710000000000001,0.7,1.4,2.1,0.3,0.2,0.8,2.0,5.0
Alaa Abdelnaby,0,1994,26.0,PHI,NBA,PF,3.0,0.0,10.0,0.3,3.7,0.091,0.0,0.0,,0.3,3.7,0.091,0.091,0.0,0.0,,1.0,1.7,2.7,0.0,0.0,1.7,0.7,0.7
Zaid Abdul-Aziz,0,1968,22.0,TOT,NBA,C,49.0,,19.3,2.9,8.0,0.369,,,,,,,,1.4,2.3,0.619,,,8.3,0.8,,,2.3,7.3
Zaid Abdul-Aziz,0,1968,22.0,CIN,NBA,,20.0,,5.4,0.9,2.2,0.419,,,,,,,,0.1,0.4,0.28600000000000003,,,1.6,0.2,,,0.9,1.9
Zaid Abdul-Aziz,0,1968,22.0,MIL,NBA,C,29.0,,28.9,4.3,12.0,0.363,,,,,,,,2.3,3.7,0.642,,,13.0,1.1,,,3.4,11.0
Zaid Abdul-Aziz,0,1969,23.0,MIL,NBA,PF,80.0,,20.5,3.0,6.8,0.434,,,,,,,,1.5,2.3,0.643,,,7.5,0.8,,,2.1,7.4
Zaid Abdul-Aziz,0,1970,24.0,SEA,NBA,C,61.0,,20.9,4.3,9.8,0.441,,,,,,,,2.3,3.1,0.7390000000000001,,,7.7,0.7,,,1.9,10.9
